,Date,Country,City,Specie,count,min,max,median,variance
451440,2020-03-15,CL,Santiago,pm25,181,3.0,61.0,53.0,2523.26
451441,2020-03-19,CL,Santiago,pm25,199,5.0,77.0,57.0,3891.32
451442,2020-02-04,CL,Santiago,pm25,239,25.0,61.0,35.0,777.39
451443,2020-03-07,CL,Santiago,pm25,216,62.0,81.0,71.0,193.71
451444,2020-03-30,CL,Santiago,pm25,216,57.0,97.0,75.0,320.09
451445,2020-04-03,CL,Santiago,pm25,216,48.0,100.0,78.0,1361.48
451446,2020-02-14,CL,Santiago,pm25,239,52.0,82.0,64.0,447.35
451447,2020-03-10,CL,Santiago,pm25,233,55.0,104.0,64.0,662.02
451448,2020-02-01,CL,Santiago,pm25,240,55.0,74.0,61.0,186.09
451449,2020-02-05,CL,Santiago,pm25,240,25.0,62.0,40.0,990.4
451450,2020-02-20,CL,Santiago,pm25,225,59.0,81.0,72.0,297.37
451451,2020-02-25,CL,Santiago,pm25,240,57.0,71.0,61.0,107.9
451452,2020-04-20,CL,Santiago,pm25,216,53.0,80.0,65.0,457.49
451453,2020-02-16,CL,Santiago,pm25,240,47.0,126.0,62.0,1882.66
451455,2020-01-26,CL,Santiago,pm25,240,49.0,69.0,57.0,151.81
451456,2020-03-16,CL,Santiago,pm25,201,4.0,155.0,54.0,7557.35
451457,2020-03-27,CL,Santiago,pm25,209,47.0,69.0,59.0,177.41
451458,2020-04-08,CL,Santiago,pm25,216,53.0,91.0,70.0,807.62
451459,2020-04-12,CL,Santiago,pm25,216,69.0,90.0,78.0,209.57
451460,2020-04-28,CL,Santiago,pm25,216,15.0,60.0,34.0,779.63
451461,2020-01-21,CL,Santiago,pm25,227,60.0,74.0,65.0,105.05
451462,2020-02-19,CL,Santiago,pm25,240,49.0,75.0,61.0,395.82
451463,2020-03-14,CL,Santiago,pm25,207,4.0,62.0,48.0,2329.07
451464,2020-04-14,CL,Santiago,pm25,216,57.0,110.0,78.0,1732.82
451466,2020-02-06,CL,Santiago,pm25,240,30.0,64.0,46.0,428.1
451467,2020-03-28,CL,Santiago,pm25,216,59.0,88.0,70.0,531.81
451468,2020-04-13,CL,Santiago,pm25,216,59.0,84.0,74.0,320.92
451469,2020-04-15,CL,Santiago,pm25,216,56.0,103.0,80.0,834.02
451472,2020-01-23,CL,Santiago,pm25,240,45.0,66.0,55.0,167.35
451473,2020-03-29,CL,Santiago,pm25,206,63.0,110.0,77.0,834.9
451474,2020-03-31,CL,Santiago,pm25,216,56.0,80.0,68.0,352.39
451475,2020-04-17,CL,Santiago,pm25,212,74.0,135.0,98.0,1323.52
451476,2020-04-27,CL,Santiago,pm25,216,25.0,77.0,38.0,1173.39
451477,2020-01-15,CL,Santiago,pm25,240,45.0,64.0,54.0,235.64
451478,2020-02-10,CL,Santiago,pm25,240,45.0,92.0,61.0,396.89
451479,2020-03-23,CL,Santiago,pm25,180,7.0,56.0,44.0,1486.54
451480,2020-03-26,CL,Santiago,pm25,210,7.0,65.0,51.0,1594.8
451481,2020-04-16,CL,Santiago,pm25,198,74.0,125.0,92.0,1101.52
451482,2020-04-18,CL,Santiago,pm25,216,65.0,136.0,92.0,3462.39
451484,2020-01-11,CL,Santiago,pm25,240,45.0,67.0,54.0,159.55
451485,2020-02-29,CL,Santiago,pm25,240,62.0,96.0,77.0,543.42
451486,2020-03-08,CL,Santiago,pm25,234,42.0,76.0,59.0,572.43
451487,2020-02-11,CL,Santiago,pm25,232,61.0,108.0,68.0,793.76
451488,2020-03-25,CL,Santiago,pm25,199,5.0,59.0,39.0,980.31
451489,2020-01-17,CL,Santiago,pm25,216,63.0,78.0,70.0,125.67
451490,2020-03-11,CL,Santiago,pm25,240,23.0,100.0,66.0,1011.97
451491,2020-04-11,CL,Santiago,pm25,216,63.0,86.0,70.0,308.09
451492,2020-01-29,CL,Santiago,pm25,236,36.0,65.0,52.0,528.79
451493,2020-04-21,CL,Santiago,pm25,214,35.0,87.0,66.0,1256.58
451494,2020-01-31,CL,Santiago,pm25,239,53.0,70.0,61.0,135.06
451495,2020-02-18,CL,Santiago,pm25,240,39.0,66.0,51.0,427.46
451496,2020-02-22,CL,Santiago,pm25,232,60.0,85.0,66.0,250.13
451497,2020-03-02,CL,Santiago,pm25,170,53.0,70.0,62.0,164.52
451498,2020-04-10,CL,Santiago,pm25,210,67.0,93.0,78.0,384.87
451500,2020-04-29,CL,Santiago,pm25,216,27.0,97.0,65.0,2491.11
451502,2020-02-12,CL,Santiago,pm25,240,65.0,105.0,75.0,549.0
451503,2020-02-24,CL,Santiago,pm25,240,53.0,70.0,59.0,99.58
451504,2020-03-03,CL,Santiago,pm25,143,62.0,80.0,70.0,139.55
451505,2020-03-17,CL,Santiago,pm25,204,4.0,154.0,56.0,8053.35
451506,2020-05-02,CL,Santiago,pm25,36,76.0,152.0,97.0,6659.97
451507,2020-01-10,CL,Santiago,pm25,240,38.0,65.0,50.0,269.62
451508,2020-01-22,CL,Santiago,pm25,239,57.0,71.0,64.0,122.14
451509,2020-02-03,CL,Santiago,pm25,240,27.0,66.0,42.0,878.24
451510,2020-03-01,CL,Santiago,pm25,240,54.0,93.0,73.0,595.34
451511,2020-03-06,CL,Santiago,pm25,228,67.0,84.0,77.0,185.43
451512,2020-04-05,CL,Santiago,pm25,215,53.0,102.0,72.0,1083.0
451513,2020-04-25,CL,Santiago,pm25,216,57.0,82.0,69.0,352.89
451514,2020-02-17,CL,Santiago,pm25,240,39.0,115.0,50.0,1962.76
451515,2020-03-21,CL,Santiago,pm25,165,3.0,80.0,60.0,3545.67
451516,2020-03-24,CL,Santiago,pm25,194,5.0,59.0,42.0,1665.38
451517,2020-04-22,CL,Santiago,pm25,216,42.0,92.0,72.0,835.67
451519,2020-02-15,CL,Santiago,pm25,240,65.0,93.0,77.0,499.87
524966,2020-03-20,IN,Mumbai,pm25,297,1.0,198.0,63.0,14742.8
524967,2020-04-13,IN,Mumbai,pm25,109,3.0,824.0,86.0,428088.0
524968,2020-03-02,IN,Mumbai,pm25,261,47.0,752.0,129.0,26553.6
524969,2020-03-15,IN,Mumbai,pm25,286,15.0,834.0,141.0,119760.0
524970,2020-04-16,IN,Mumbai,pm25,102,1.0,824.0,77.0,320860.0
524971,2020-04-20,IN,Mumbai,pm25,132,1.0,824.0,84.0,341472.0
524972,2020-05-02,IN,Mumbai,pm25,103,5.0,158.0,50.0,7141.81
524974,2020-01-18,IN,Mumbai,pm25,275,5.0,244.0,162.0,18141.4
524975,2020-04-23,IN,Mumbai,pm25,217,3.0,824.0,66.0,159636.0
524976,2020-04-30,IN,Mumbai,pm25,201,1.0,165.0,63.0,5486.5
524977,2020-03-27,IN,Mumbai,pm25,283,1.0,151.0,84.0,4379.79
524978,2020-04-06,IN,Mumbai,pm25,199,2.0,824.0,72.0,249499.0
524979,2020-04-03,IN,Mumbai,pm25,225,5.0,824.0,87.0,215847.0
524980,2020-04-07,IN,Mumbai,pm25,197,2.0,824.0,85.0,246927.0
524981,2020-04-29,IN,Mumbai,pm25,202,2.0,168.0,68.0,4324.31
524982,2020-02-09,IN,Mumbai,pm25,291,73.0,188.0,157.0,3028.83
524983,2020-03-06,IN,Mumbai,pm25,309,1.0,709.0,68.0,24421.0
524984,2020-03-07,IN,Mumbai,pm25,300,1.0,198.0,82.0,9855.15
524985,2020-03-12,IN,Mumbai,pm25,309,1.0,164.0,61.0,9956.32
524986,2020-03-16,IN,Mumbai,pm25,292,47.0,195.0,152.0,8977.38
524988,2020-02-22,IN,Mumbai,pm25,300,64.0,824.0,160.0,45243.4
524989,2020-03-09,IN,Mumbai,pm25,286,5.0,819.0,107.0,27002.2
524990,2020-04-21,IN,Mumbai,pm25,206,1.0,834.0,67.0,223314.0
524991,2020-02-23,IN,Mumbai,pm25,310,25.0,223.0,162.0,7445.81
524992,2020-03-08,IN,Mumbai,pm25,285,9.0,160.0,92.0,7036.77
524993,2020-03-30,IN,Mumbai,pm25,281,4.0,824.0,81.0,40092.3
524994,2020-04-15,IN,Mumbai,pm25,102,4.0,824.0,87.0,313248.0
524995,2020-02-02,IN,Mumbai,pm25,306,77.0,327.0,160.0,8387.82
524996,2020-02-12,IN,Mumbai,pm25,310,51.0,834.0,155.0,96729.3
524997,2020-03-13,IN,Mumbai,pm25,305,9.0,182.0,81.0,8763.7
524998,2020-04-09,IN,Mumbai,pm25,188,10.0,824.0,91.0,172378.0
524999,2020-03-28,IN,Mumbai,pm25,287,8.0,153.0,91.0,5225.05
525000,2020-01-13,IN,Mumbai,pm25,304,9.0,824.0,147.0,192588.0
525001,2020-01-15,IN,Mumbai,pm25,297,14.0,824.0,85.0,27598.6
525002,2020-01-22,IN,Mumbai,pm25,285,55.0,824.0,163.0,61855.1
525003,2020-02-20,IN,Mumbai,pm25,309,35.0,260.0,153.0,15799.3
525004,2020-03-10,IN,Mumbai,pm25,285,1.0,252.0,82.0,30929.7
525005,2020-04-04,IN,Mumbai,pm25,211,3.0,824.0,85.0,230099.0
525008,2020-04-24,IN,Mumbai,pm25,212,24.0,824.0,65.0,162983.0
525009,2020-01-23,IN,Mumbai,pm25,291,79.0,824.0,165.0,31506.8
525010,2020-02-16,IN,Mumbai,pm25,309,34.0,227.0,163.0,7638.17
525011,2020-01-11,IN,Mumbai,pm25,298,27.0,824.0,160.0,126102.0
525012,2020-01-16,IN,Mumbai,pm25,308,8.0,764.0,90.0,27457.2
525013,2020-02-01,IN,Mumbai,pm25,312,85.0,259.0,159.0,4473.4
525014,2020-02-17,IN,Mumbai,pm25,310,91.0,824.0,173.0,84193.8
525015,2020-04-10,IN,Mumbai,pm25,174,1.0,824.0,91.0,186767.0
525016,2020-01-31,IN,Mumbai,pm25,312,37.0,250.0,153.0,7416.62
525017,2020-02-18,IN,Mumbai,pm25,305,59.0,528.0,168.0,10354.5
525018,2020-01-26,IN,Mumbai,pm25,312,93.0,262.0,171.0,7571.33
525019,2020-02-29,IN,Mumbai,pm25,312,6.0,264.0,155.0,21412.9
525020,2020-03-25,IN,Mumbai,pm25,285,12.0,163.0,90.0,6275.41
525021,2020-04-19,IN,Mumbai,pm25,96,1.0,141.0,72.0,6360.71
525023,2020-01-17,IN,Mumbai,pm25,275,5.0,199.0,130.0,16069.6
525024,2020-01-19,IN,Mumbai,pm25,276,5.0,262.0,165.0,15656.2
525025,2020-02-05,IN,Mumbai,pm25,302,70.0,228.0,153.0,7849.57
525026,2020-02-11,IN,Mumbai,pm25,301,65.0,824.0,155.0,66964.0
525027,2020-03-03,IN,Mumbai,pm25,112,72.0,241.0,118.0,6795.52
525028,2020-04-12,IN,Mumbai,pm25,120,3.0,151.0,90.0,6913.33
525029,2020-05-01,IN,Mumbai,pm25,200,1.0,663.0,55.0,24760.3
525031,2020-01-10,IN,Mumbai,pm25,312,5.0,824.0,155.0,68261.8
525032,2020-04-11,IN,Mumbai,pm25,139,1.0,824.0,94.0,360196.0
525033,2020-03-29,IN,Mumbai,pm25,275,3.0,156.0,83.0,6072.83
525034,2020-04-01,IN,Mumbai,pm25,245,2.0,824.0,77.0,152091.0
525035,2020-03-18,IN,Mumbai,pm25,312,1.0,259.0,130.0,14660.5
525036,2020-02-03,IN,Mumbai,pm25,312,74.0,284.0,161.0,10025.4
525037,2020-02-27,IN,Mumbai,pm25,309,30.0,208.0,151.0,10721.6
525038,2020-03-04,IN,Mumbai,pm25,296,3.0,775.0,103.0,39562.7
525040,2020-01-14,IN,Mumbai,pm25,282,8.0,174.0,101.0,11483.1
525041,2020-01-21,IN,Mumbai,pm25,288,73.0,284.0,168.0,9248.71
525042,2020-03-23,IN,Mumbai,pm25,279,1.0,168.0,82.0,8143.07
525043,2020-01-28,IN,Mumbai,pm25,310,13.0,236.0,70.0,16784.6
525044,2020-03-05,IN,Mumbai,pm25,310,1.0,824.0,97.0,154219.0
525045,2020-01-27,IN,Mumbai,pm25,310,1.0,365.0,113.0,23302.7
525046,2020-02-24,IN,Mumbai,pm25,311,88.0,229.0,168.0,4119.79
525047,2020-03-17,IN,Mumbai,pm25,292,18.0,824.0,161.0,81488.0
525048,2020-03-31,IN,Mumbai,pm25,266,1.0,824.0,79.0,70472.8
525049,2020-04-02,IN,Mumbai,pm25,242,2.0,824.0,92.0,221739.0
525050,2020-04-18,IN,Mumbai,pm25,102,1.0,824.0,72.0,326860.0
525052,2020-01-12,IN,Mumbai,pm25,301,43.0,824.0,165.0,163066.0
525053,2020-04-08,IN,Mumbai,pm25,199,11.0,824.0,92.0,237317.0
525054,2020-02-26,IN,Mumbai,pm25,288,12.0,211.0,116.0,9026.23
525055,2020-03-01,IN,Mumbai,pm25,297,30.0,337.0,124.0,10304.3
525056,2020-04-25,IN,Mumbai,pm25,212,6.0,824.0,57.0,167755.0
525057,2020-04-27,IN,Mumbai,pm25,206,1.0,163.0,57.0,5988.89
525059,2020-02-15,IN,Mumbai,pm25,302,12.0,824.0,144.0,53334.4
525060,2020-03-19,IN,Mumbai,pm25,302,11.0,192.0,84.0,15567.3
525061,2020-03-21,IN,Mumbai,pm25,300,1.0,824.0,67.0,82839.5
525062,2020-02-21,IN,Mumbai,pm25,302,18.0,791.0,115.0,28910.9
525063,2020-02-25,IN,Mumbai,pm25,301,8.0,313.0,116.0,16964.3
