item_id,date,p10,p50,p90
58,2020-05-11T00:00:00Z,997.5899658203,1080.4887695312,1220.4304199219
58,2020-05-12T00:00:00Z,953.9738769531,1083.3187255859,1240.4743652344
58,2020-05-13T00:00:00Z,979.5724487305,1093.255859375,1234.5494384766
58,2020-05-14T00:00:00Z,967.8421630859,1097.0977783203,1187.3836669922
58,2020-05-15T00:00:00Z,975.6020507812,1084.8659667969,1212.0672607422
58,2020-05-16T00:00:00Z,990.2319946289,1104.7445068359,1208.4720458984
261,2020-05-03T00:00:00Z,1123.3983154297,1158.5230712891,1199.5504150391
261,2020-05-04T00:00:00Z,1096.5983886719,1147.9364013672,1215.298828125
261,2020-05-05T00:00:00Z,1090.0090332031,1149.9376220703,1236.4866943359
261,2020-05-06T00:00:00Z,1064.7778320312,1145.4615478516,1202.8258056641
261,2020-05-07T00:00:00Z,1075.1395263672,1142.4304199219,1225.5765380859
261,2020-05-08T00:00:00Z,1072.5916748047,1140.8905029297,1200.3140869141
261,2020-05-09T00:00:00Z,1076.7073974609,1141.4851074219,1240.3345947266
261,2020-05-10T00:00:00Z,1077.4643554688,1144.3499755859,1234.1959228516
261,2020-05-11T00:00:00Z,1004.9813232422,1118.9813232422,1207.4012451172
261,2020-05-12T00:00:00Z,1034.4835205078,1119.4233398438,1226.6029052734
261,2020-05-13T00:00:00Z,1013.4686889648,1107.0358886719,1210.3489990234
261,2020-05-14T00:00:00Z,1028.5043945312,1105.5362548828,1227.8822021484
261,2020-05-15T00:00:00Z,1010.4415283203,1124.4061279297,1224.4483642578
261,2020-05-16T00:00:00Z,1013.961730957,1127.4018554688,1255.0721435547
511,2020-05-03T00:00:00Z,1086.4455566406,1139.2891845703,1206.0323486328
511,2020-05-04T00:00:00Z,1042.3682861328,1120.6212158203,1197.7385253906
511,2020-05-05T00:00:00Z,1066.8870849609,1125.4569091797,1207.2763671875
511,2020-05-06T00:00:00Z,1043.8444824219,1116.8354492188,1201.8135986328
511,2020-05-07T00:00:00Z,1030.4869384766,1140.5577392578,1219.4942626953
511,2020-05-08T00:00:00Z,1043.6977539062,1125.6463623047,1196.0469970703
511,2020-05-09T00:00:00Z,1027.4146728516,1115.4477539062,1221.6495361328
511,2020-05-10T00:00:00Z,1030.0305175781,1136.0797119141,1199.8599853516
511,2020-05-11T00:00:00Z,975.8107910156,1086.4371337891,1182.0893554688
511,2020-05-12T00:00:00Z,925.7386474609,1070.1628417969,1231.1237792969
511,2020-05-13T00:00:00Z,940.5780029297,1066.2580566406,1195.8372802734
511,2020-05-14T00:00:00Z,959.4199829102,1077.7978515625,1205.7935791016
511,2020-05-15T00:00:00Z,947.1535644531,1075.9859619141,1220.9357910156
511,2020-05-16T00:00:00Z,965.7847290039,1094.626953125,1193.0440673828
399,2020-05-03T00:00:00Z,954.7545166016,990.1539916992,1035.5345458984
399,2020-05-04T00:00:00Z,924.4028320312,976.4359741211,1033.6547851562
399,2020-05-05T00:00:00Z,938.4357910156,985.2825927734,1050.5731201172
399,2020-05-06T00:00:00Z,930.5799560547,986.6884155273,1056.3879394531
399,2020-05-07T00:00:00Z,935.279296875,985.2049560547,1039.6311035156
399,2020-05-08T00:00:00Z,907.9349365234,974.1497192383,1068.9328613281
399,2020-05-09T00:00:00Z,908.5366210938,986.9595947266,1038.9685058594
399,2020-05-10T00:00:00Z,918.4266357422,984.9014892578,1068.9050292969
399,2020-05-11T00:00:00Z,876.8134155273,956.0986938477,1044.9835205078
399,2020-05-12T00:00:00Z,892.7727050781,965.98046875,1082.9991455078
399,2020-05-13T00:00:00Z,885.1020507812,972.4320068359,1064.2473144531
399,2020-05-14T00:00:00Z,860.0628662109,969.1375732422,1076.0969238281
399,2020-05-15T00:00:00Z,858.7269287109,975.9512939453,1064.1452636719
399,2020-05-16T00:00:00Z,915.9440307617,990.0615844727,1075.2292480469
363,2020-05-03T00:00:00Z,1071.5125732422,1114.8291015625,1153.2670898438
363,2020-05-04T00:00:00Z,1027.5926513672,1096.6727294922,1153.5249023438
363,2020-05-05T00:00:00Z,1018.1600952148,1102.7259521484,1151.1223144531
363,2020-05-06T00:00:00Z,1041.7999267578,1102.9393310547,1169.3828125
363,2020-05-07T00:00:00Z,1028.8531494141,1095.3918457031,1224.0551757812
363,2020-05-08T00:00:00Z,1009.1163330078,1101.5272216797,1217.7266845703
363,2020-05-09T00:00:00Z,995.4500732422,1103.5054931641,1189.8768310547
363,2020-05-10T00:00:00Z,1022.7352905273,1102.1522216797,1184.0737304688
363,2020-05-11T00:00:00Z,950.7104492188,1053.37890625,1184.9064941406
363,2020-05-12T00:00:00Z,935.2716064453,1072.9223632812,1205.3322753906
363,2020-05-13T00:00:00Z,944.8480224609,1053.4985351562,1157.6594238281
363,2020-05-14T00:00:00Z,928.614440918,1048.9548339844,1161.0822753906
363,2020-05-15T00:00:00Z,935.5072631836,1060.0625,1199.3815917969
363,2020-05-16T00:00:00Z,906.5886230469,1067.8929443359,1175.28515625
204,2020-05-03T00:00:00Z,793.1026000977,860.4426269531,901.0626831055
204,2020-05-04T00:00:00Z,756.9479370117,842.4654541016,905.3465576172
204,2020-05-05T00:00:00Z,711.5045776367,856.2523803711,958.6284790039
204,2020-05-06T00:00:00Z,694.7117919922,876.7741088867,970.2043457031
204,2020-05-07T00:00:00Z,628.7634277344,843.8916625977,993.8774414062
204,2020-05-08T00:00:00Z,732.1256103516,908.1763305664,1011.2304077148
204,2020-05-09T00:00:00Z,745.9295654297,951.5208129883,1070.0373535156
204,2020-05-10T00:00:00Z,752.0086669922,927.9332885742,1044.2268066406
204,2020-05-11T00:00:00Z,614.9274291992,866.053894043,1055.4674072266
204,2020-05-12T00:00:00Z,516.8365478516,914.3272705078,1049.6599121094
204,2020-05-13T00:00:00Z,647.3301391602,896.0946044922,1073.5411376953
204,2020-05-14T00:00:00Z,652.6272583008,918.6943359375,1121.5278320312
204,2020-05-15T00:00:00Z,646.826171875,944.2064208984,1057.7702636719
204,2020-05-16T00:00:00Z,680.9305419922,979.3640136719,1138.5164794922
81,2020-05-03T00:00:00Z,1059.2634277344,1106.181640625,1155.6859130859
81,2020-05-04T00:00:00Z,1039.916015625,1091.2683105469,1140.2983398438
81,2020-05-05T00:00:00Z,1006.1318969727,1091.8576660156,1153.7661132812
81,2020-05-06T00:00:00Z,988.0427856445,1095.8729248047,1153.4434814453
81,2020-05-07T00:00:00Z,982.0098876953,1084.3919677734,1160.8218994141
81,2020-05-08T00:00:00Z,1016.3720703125,1096.2930908203,1166.2846679688
81,2020-05-09T00:00:00Z,999.6994018555,1088.8646240234,1188.2861328125
81,2020-05-10T00:00:00Z,1020.9453735352,1093.6781005859,1162.0552978516
81,2020-05-11T00:00:00Z,918.4351806641,1037.2222900391,1142.0208740234
81,2020-05-12T00:00:00Z,935.0246582031,1037.1442871094,1153.3082275391
81,2020-05-13T00:00:00Z,905.5667724609,1039.7155761719,1152.0931396484
81,2020-05-14T00:00:00Z,875.2727661133,1033.4847412109,1163.6364746094
81,2020-05-15T00:00:00Z,924.6598510742,1036.6726074219,1176.6551513672
81,2020-05-16T00:00:00Z,947.3467407227,1055.2028808594,1162.8218994141
519,2020-05-03T00:00:00Z,1202.3405761719,1239.955078125,1293.7109375
519,2020-05-04T00:00:00Z,1139.4494628906,1233.2966308594,1305.4521484375
519,2020-05-05T00:00:00Z,1147.2524414062,1222.0404052734,1282.3570556641
519,2020-05-06T00:00:00Z,1150.6729736328,1212.78125,1285.0159912109
519,2020-05-07T00:00:00Z,1155.9291992188,1224.205078125,1294.4030761719
519,2020-05-08T00:00:00Z,1149.9884033203,1227.8454589844,1296.1270751953
519,2020-05-09T00:00:00Z,1139.5791015625,1212.1131591797,1293.1802978516
519,2020-05-10T00:00:00Z,1148.0841064453,1220.7048339844,1290.0592041016
519,2020-05-11T00:00:00Z,1086.8612060547,1190.2104492188,1295.1960449219
519,2020-05-12T00:00:00Z,1103.5520019531,1192.7076416016,1299.1330566406
519,2020-05-13T00:00:00Z,1068.0225830078,1183.6947021484,1346.1846923828
519,2020-05-14T00:00:00Z,1076.0767822266,1183.8885498047,1287.9479980469
519,2020-05-15T00:00:00Z,1075.1279296875,1179.9168701172,1336.2951660156
519,2020-05-16T00:00:00Z,1075.7414550781,1196.8717041016,1274.4495849609
178,2020-05-03T00:00:00Z,870.7616577148,923.1424560547,976.7485351562
178,2020-05-04T00:00:00Z,773.8397827148,888.2822265625,984.1519775391
178,2020-05-05T00:00:00Z,743.4683837891,900.6683349609,1017.6641235352
178,2020-05-06T00:00:00Z,808.6266479492,921.8990478516,1029.6739501953
178,2020-05-07T00:00:00Z,720.8253173828,865.0882568359,1030.8914794922
178,2020-05-08T00:00:00Z,830.1591796875,958.4094238281,1122.6252441406
178,2020-05-09T00:00:00Z,877.1557617188,990.274230957,1128.3686523438
178,2020-05-10T00:00:00Z,840.3530883789,952.5816040039,1089.0875244141
178,2020-05-11T00:00:00Z,711.5676879883,927.5784301758,1080.9942626953
178,2020-05-12T00:00:00Z,663.1119995117,930.4338989258,1083.6497802734
178,2020-05-13T00:00:00Z,681.8393554688,932.6414794922,1082.0272216797
178,2020-05-14T00:00:00Z,662.1677856445,962.2048950195,1129.8681640625
178,2020-05-15T00:00:00Z,628.8153686523,923.6618041992,1129.8913574219
178,2020-05-16T00:00:00Z,732.4747924805,1011.1608276367,1169.8708496094
500,2020-05-03T00:00:00Z,1077.2958984375,1125.1508789062,1191.2174072266
500,2020-05-04T00:00:00Z,1035.6763916016,1099.9252929688,1178.8717041016
500,2020-05-05T00:00:00Z,1049.3900146484,1115.6126708984,1199.1135253906
500,2020-05-06T00:00:00Z,1023.6307373047,1106.287109375,1173.6527099609
500,2020-05-07T00:00:00Z,992.1350097656,1108.1555175781,1197.7998046875
500,2020-05-08T00:00:00Z,1005.0390014648,1116.7974853516,1197.4298095703
500,2020-05-09T00:00:00Z,1013.5088500977,1116.5052490234,1184.048828125
500,2020-05-10T00:00:00Z,1006.3696289062,1110.2939453125,1196.7625732422
500,2020-05-11T00:00:00Z,919.758605957,1054.6667480469,1207.3850097656
500,2020-05-12T00:00:00Z,926.4547729492,1065.0166015625,1194.052734375
500,2020-05-13T00:00:00Z,888.5206298828,1061.6744384766,1174.5678710938
500,2020-05-14T00:00:00Z,867.0632324219,1038.6169433594,1234.3798828125
500,2020-05-15T00:00:00Z,896.353515625,1062.7164306641,1198.2213134766
500,2020-05-16T00:00:00Z,902.1294555664,1049.2463378906,1177.6895751953
217,2020-05-03T00:00:00Z,1057.3570556641,1104.7705078125,1154.7957763672
217,2020-05-04T00:00:00Z,1039.1433105469,1090.8519287109,1140.1286621094
217,2020-05-05T00:00:00Z,1003.8186035156,1090.271484375,1152.39453125
217,2020-05-06T00:00:00Z,984.9663696289,1093.7744140625,1151.8645019531
217,2020-05-07T00:00:00Z,979.4661865234,1083.6265869141,1161.6378173828
217,2020-05-08T00:00:00Z,1017.6908569336,1097.48046875,1167.5163574219
217,2020-05-09T00:00:00Z,1001.78515625,1089.9645996094,1188.1453857422
