,City,Country,Pop,Lat,Lon
73,ReykjavÃ­k,IS,118918,64.13548,-21.89541
74,Bologna,IT,366133,44.49381,11.33875
75,Livorno,IT,153773,43.54427,10.32615
76,Trieste,IT,187056,45.64953,13.77678
77,Modena,IT,158886,44.64783,10.92539
78,Prato,IT,181820,43.8805,11.09699
79,Florence,IT,349296,43.77925,11.24626
80,Naples,IT,959470,40.85216,14.26811
81,Rome,IT,2318895,41.89193,12.511330000000001
82,Turin,IT,870456,45.07049,7.68682
83,Milan,IT,1236837,45.46427,9.18951
84,Brescia,IT,184826,45.53558,10.21472
85,Parma,IT,146299,44.79935,10.32618
86,Skopje,MK,474889,41.99646,21.43141
87,Chelyabinsk,RU,1062919,55.15402,61.42915
88,Nizhniy Novgorod,RU,1284164,56.32867,44.00205
89,Saint Petersburg,RU,5028000,59.93863,30.31413
90,Krasnoyarsk,RU,927200,56.01839,92.86717
91,Tomsk,RU,485519,56.49771,84.97437
92,Novosibirsk,RU,1419007,55.0415,82.9346
93,Moscow,RU,10381222,55.75222,37.61556
94,Manama,BH,147074,26.22787,50.58565
95,San JosÃ©,CR,335007,9.93333,-84.08333
96,Algiers,DZ,1977663,36.73225,3.08746
97,Ecatepec de Morelos,MX,1655015,19.60492,-99.06064
98,Guadalajara,MX,1495182,20.66682,-103.39182
99,Cuernavaca,MX,338650,18.9261,-99.23075
100,Puebla,MX,1434062,19.03793,-98.20346
101,Mexico City,MX,12294193,19.42847,-99.12766
102,Morelia,MX,597511,19.70078,-101.18443
103,MÃ©rida,MX,777615,20.97537,-89.61696
104,San Luis PotosÃ­,MX,722772,22.14982,-100.97916
105,Chihuahua,MX,809232,28.63528,-106.08889
106,Monterrey,MX,1135512,25.67507,-100.31847
107,Pachuca de Soto,MX,256584,20.11697,-98.73329
108,Tepic,MX,332863,21.50951,-104.89569
109,Toluca,MX,489333,19.28786,-99.65324
110,Aguascalientes,MX,722250,21.88234,-102.28259
111,Oaxaca,MX,255029,17.06542,-96.72365
112,Dhaka,BD,10356500,23.7104,90.40744
113,Guatemala City,GT,994938,14.64072,-90.51327
114,Macau,MO,520400,22.20056,113.54611
115,Edinburgh,GB,464990,55.95206,-3.19648
116,Norwich,GB,213166,52.62783,1.29834
117,Liverpool,GB,864122,53.41058,-2.9779400000000003
118,Belfast,GB,274770,54.59682,-5.92541
119,Coventry,GB,359262,52.40656,-1.51217
120,Leeds,GB,455123,53.79648,-1.54785
121,Cardiff,GB,447287,51.48,-3.18
122,Bristol,GB,617280,51.45523,-2.59665
123,London,GB,7556900,51.50853,-0.12574000000000002
124,Birmingham,GB,984333,52.48142,-1.8998300000000001
125,Sheffield,GB,685368,53.38297,-1.4659
126,Newport,GB,306844,51.58774,-2.9983500000000003
127,Leicester,GB,508916,52.6386,-1.13169
128,Manchester,GB,395515,53.48095,-2.23743
129,Reading,GB,318014,51.45625,-0.97113
130,Plymouth,GB,260203,50.37153,-4.14305
131,Glasgow,GB,591620,55.86515,-4.25763
132,Preston,GB,313332,53.76282,-2.70452
133,Swansea,GB,300352,51.62079,-3.9432300000000002
134,Luton,GB,258018,51.87967,-0.41748
135,Southend-on-Sea,GB,295310,51.53782,0.71433
136,Isfahan,IR,1547164,32.65246,51.67462
137,ArÄ�k,IR,503647,34.09493,49.69809
138,Karaj,IR,1448075,35.83266,50.99155
139,Qom,IR,900000,34.6401,50.8764
140,OrÅ«mÄ«yeh,IR,577307,37.55274,45.07605
141,Yazd,IR,477905,31.89722,54.3675
142,ÄªlÄ�m,IR,140940,33.6374,46.4227
143,Kerman,IR,577514,30.28321,57.07879
144,Khorramshahr,IR,330606,30.44079,48.18428
145,Tabriz,IR,1424641,38.08,46.2919
146,Bandar Abbas,IR,352173,27.1865,56.2808
147,Sanandaj,IR,349176,35.31495,46.99883
148,Kermanshah,IR,621100,34.31417,47.065
149,Khorramabad,IR,329825,33.48778,48.35583
150,Shiraz,IR,1249942,29.61031,52.53113
151,ZanjÄ�n,IR,357471,36.67642,48.49628
152,Mashhad,IR,2307177,36.31559,59.56796
153,Tehran,IR,7153309,35.69439,51.42151
154,Kuantan,MY,366229,3.8077,103.326
155,Miri,MY,228212,4.39928,113.99163
156,George Town,MY,300000,5.41123,100.33543
157,Klang,MY,879867,3.03667,101.44333
158,Malacca,MY,180671,2.196,102.2405
159,Taiping,MY,217647,4.85,100.73333
160,Alor Setar,MY,217368,6.12104,100.36014
161,Kota Bharu,MY,1459994,6.12361,102.24333
162,Kuching,MY,570407,1.55,110.33333
163,Seremban,MY,372917,2.7297000000000002,101.9381
164,Ipoh,MY,673318,4.5841,101.0829
165,Johor Bahru,MY,802489,1.4655,103.7578
166,Kuala Lumpur,MY,1453975,3.1412,101.68653
